"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"87",NA,NA,0.008555935559252,0.011720773147937,0.003465995379174,0.000606012957353,0.01,0.014988416765679,0.017299346539374,0.008011859835246,0.007294071041902,"AC_Claudia","AGID_134","Italy","ETM+","3","Italy"
"88",NA,NA,0.008934447134575,0.012149802824214,0.003649483246262,0.000677356242547,0.01,0.014988416765679,0.017299346539374,0.008011859835246,0.007294071041902,"AC_Claudia","AGID_135","Italy","ETM+","3","Italy"
"89",NA,NA,0.008761022622894,0.011987670374115,0.003559482272612,0.000638771396682,0.01,0.014988416765679,0.017299346539374,0.008011859835246,0.007294071041902,"AC_Claudia","AGID_136","Italy","ETM+","3","Italy"
"90",NA,NA,0.009595132615707,0.012735652635534,0.004144544623049,0.001074699974586,0.01,0.014988416765679,0.017299346539374,0.008011859835246,0.007294071041902,"AC_Claudia","AGID_137","Italy","ETM+","3","Italy"
"91",NA,NA,0.009216589957785,0.012288163412478,0.004722575993186,0.002318849572925,0.01,0.017439402889294,0.018769938213543,0.009368655725104,0.008913472587862,"AC_Claudia","AGID_138","Italy","ETM+","3","Italy"
"92",NA,NA,0.008383877580218,0.011553568721551,0.00397078145668,0.001332012541652,0.01,0.017439402889294,0.018769938213543,0.009368655725104,0.008913472587862,"AC_Claudia","AGID_139","Italy","ETM+","3","Italy"
"93",NA,NA,0.009061189872195,0.012208959825844,0.004410432441773,0.001873391630495,0.01,0.017439402889294,0.018769938213543,0.009368655725104,0.008913472587862,"AC_Claudia","AGID_140","Italy","ETM+","3","Italy"
"94",NA,NA,0.009237820955613,0.012478909746503,0.004651736330872,0.001977674655525,0.01,0.017439402889294,0.018769938213543,0.009368655725104,0.008913472587862,"AC_Claudia","AGID_141","Italy","ETM+","3","Italy"
"95",NA,NA,0.009466321685391,0.01271850607937,0.004324525005802,0.001304798165673,0.01,0.015286036509261,0.017579459239215,0.007460387957433,0.006304923070585,"AC_Claudia","AGID_142","Italy","ETM+","3","Italy"
"96",NA,NA,0.011545071143414,0.014481612821382,0.005534066085683,0.002612477971187,0.01,0.015286036509261,0.017579459239215,0.007460387957433,0.006304923070585,"AC_Claudia","AGID_143","Italy","ETM+","3","Italy"
