ID,region,lat,long,Date,dif_days,tss,chla,secchi,sensor,Class,CA_insitu,Blue_insitu,Green_insitu,Red_insitu,NIR_insitu,CA_satellite,Blue_satellite,Green_satellite,Red_satellite,NIR_satellite
AGID_1714,US,30.47357,-86.13831,1/12/2011,2,NA,NA,NA,ETM+,NA,NA,0.003168981,0.006528039,0.005836399,2.53E-07,0.01,0.007066479,0.008440782,0.006803874,0.007381606
AGID_172,Italy,45.16835556,10.78295278,9/19/2016,1,8.142857143,32.49146667,NA,ETM+,4,NA,0.003867935,0.008724138,0.005612121,0.000949302,0.01,0.00895724,0.011985959,0.007101494,0.006838888
AGID_179,Italy,45.67097222,9.978,9/26/2016,1,1.94,2.5,NA,ETM+,3,NA,0.006692875,0.007879548,0.00244507,0.000488905,0.01,0.011381966,0.012423635,0.005508353,0.010165226
AGID_180,Italy,45.67097222,9.978,9/26/2016,1,1.94,2.5,NA,ETM+,3,NA,0.006647726,0.007895337,0.002452371,0.000482517,0.01,0.011381966,0.012423635,0.005508353,0.010165226
AGID_181,Italy,45.66772222,10.00644444,9/26/2016,1,2,2.7,NA,ETM+,3,NA,0.010054029,0.011941938,0.00403637,0.000974708,0.01,0.014647029,0.015784987,0.008467043,0.012178536
AGID_182,Italy,45.66772222,10.00644444,9/26/2016,1,2,2.7,NA,ETM+,3,NA,0.009156118,0.011091564,0.003631538,0.000925446,0.01,0.014647029,0.015784987,0.008467043,0.012178536
AGID_194,Italy,45.154763,10.804865,7/28/2017,0,12,31,NA,ETM+,5,NA,0.002708624,0.007116136,0.004917426,0.00176211,0.01,0.009788825,0.013439043,0.009972649,0.010769219
AGID_194,Italy,45.154763,10.804865,7/28/2017,0,12,31,NA,ETM+,5,NA,0.002708624,0.007116136,0.004917426,0.00176211,0.01,0.009123557,0.012948846,0.00955248,0.010436585
AGID_195,Italy,45.154763,10.804865,7/28/2017,0,12,31,NA,ETM+,5,NA,0.00297763,0.007351585,0.00509781,0.00185957,0.01,0.009788825,0.013439043,0.009972649,0.010769219
AGID_195,Italy,45.154763,10.804865,7/28/2017,0,12,31,NA,ETM+,5,NA,0.00297763,0.007351585,0.00509781,0.00185957,0.01,0.009123557,0.012948846,0.00955248,0.010436585
AGID_196,Italy,45.164038,10.800548,7/28/2017,0,13.67,36.3,NA,ETM+,5,NA,0.002886256,0.007435053,0.005088081,0.002211814,0.01,0.008904719,0.012432388,0.009972649,0.013325248
AGID_196,Italy,45.164038,10.800548,7/28/2017,0,13.67,36.3,NA,ETM+,5,NA,0.002886256,0.007435053,0.005088081,0.002211814,0.01,0.008108149,0.011863409,0.009499959,0.012975107
AGID_197,Italy,45.164038,10.800548,7/28/2017,0,13.67,36.3,NA,ETM+,5,NA,0.002806101,0.007293874,0.005025285,0.002127609,0.01,0.008904719,0.012432388,0.009972649,0.013325248
AGID_197,Italy,45.164038,10.800548,7/28/2017,0,13.67,36.3,NA,ETM+,5,NA,0.002806101,0.007293874,0.005025285,0.002127609,0.01,0.008108149,0.011863409,0.009499959,0.012975107
AGID_20,Italy,45.16759167,10.79552778,9/23/2014,-1,16.8,40.69654,NA,ETM+,4,NA,0.008209274,0.013940192,0.010101694,0.002692744,0.01,0.013824198,0.018769938,0.011994712,0.00940367
AGID_2060,Italy,55.363317,21.08965,9/20/2020,-1,NA,44.2053,NA,ETM+,5,NA,0.009073694,0.017821987,0.012034971,0.004623012,0.01,0.012467402,0.017588213,0.010077691,0.0052545
AGID_2061,Italy,55.355624,21.125978,9/20/2020,-1,NA,46.67681,NA,ETM+,5,NA,0.008347021,0.018247507,0.012051649,0.004098471,0.01,0.011627064,0.018804952,0.011145621,0.005350789
AGID_2062,Italy,55.333222,21.22576,9/20/2020,-1,NA,60.38953333,NA,ETM+,5,NA,0.003234046,0.007510803,0.005815609,0.001495985,0.01,0.008405768,0.009885114,0.005280761,0.00398524
AGID_2067,US,37.975,-122.4366667,9/18/2018,2,7.1,7.5,NA,ETM+,1,NA,0.017281012,0.021019287,0.014266673,0.00239978,0.01,0.011767121,0.016073853,0.009088543,0.003267451
AGID_21,Italy,45.16759167,10.79552778,9/23/2014,-1,16.8,40.69654,NA,ETM+,4,NA,0.007938957,0.013854352,0.01003542,0.00256607,0.01,0.013824198,0.018769938,0.011994712,0.00940367
